x,y
100,0
99.65,0.042
98.618,0.186
96.949,0.461
94.698,0.881
91.927,1.444
88.703,2.138
85.089,2.939
81.146,3.817
76.933,4.74
72.503,5.674
67.908,6.585
63.196,7.443
58.414,8.218
53.609,8.881
48.82,9.405
44.078,9.77
39.411,9.969
34.856,10.001
30.45,9.867
26.227,9.57
22.218,9.118
18.457,8.523
14.971,7.798
11.788,6.963
8.934,6.04
6.437,5.055
4.319,4.033
2.602,2.999
1.3,1.986
0.433,1.032
0.017,0.183
0.156,-0.488
0.916,-1.058
2.237,-1.621
4.069,-2.144
6.388,-2.609
9.171,-3.003
12.392,-3.321
16.018,-3.559
20.013,-3.714
24.338,-3.782
28.95,-3.768
33.802,-3.672
38.846,-3.497
44.032,-3.249
49.308,-2.934
54.626,-2.558
59.939,-2.139
65.2,-1.703
70.342,-1.286
75.29,-0.91
79.967,-0.592
84.3,-0.337
88.22,-0.149
91.665,-0.026
94.576,0.04
96.905,0.058
98.608,0.043
99.65,0.014
100.001,0