lift,
924.1426704,
1356.539523,
1669.652476,
1892.163241,
2074.700207,
2231.102064,
2361.674247,
2477.136123,
2550.213425,
2703.170719,
2854.786531,
2762.535007,
2770.96875,
2767.106795,
2811.828871,
2823.470706,
2831.09335,
2837.873053,
2844.223293,
2849.788264,
2854.206141,
2856.19111,
2856.19111,
2854.206141,
2849.788264,
2844.223293,
2837.873053,
2831.09335,
2823.470706,
2811.828871,
2767.106795,
2770.96875,
2762.535007,
2854.786531,
2703.170719,
2550.213425,
2477.136123,
2361.674247,
2231.102064,
2074.700207,
1892.163241,
1669.652476,
1356.539523,
924.1426704